Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,MinimumSalary,MaximumSalary,AverageSalary,Company Text,job_city,Age,Python,R,Spark,AWS,Excel
Quality Systems Data Science Engineer,$52K-$101K (Glassdoor Est.),"It is our people behind life’s passions who will make the big difference. If you are interested in becoming part of a company that delivers market leading products, driving your own career and working with brands committed to active lifestyles, then you’ve found your fit.

Have what it takes? Join us.

Job Title:

Quality Systems Data Science Engineer

Location:

W6250 Pioneer Road, Fond du Lac, WI 54935

Duties:

Analyze the data systems in the assembly, machining and coating operations. Work closely with the Controls, IT, Production, Materials and Operations groups to ensure that quality data is received from multiple management systems such as in-process validations and other areas in the operations. Act as Business Analytics subject matter expert representing Operations in strategic development of metrics and related analytics. Extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure. Use PowerQuery, M and DAX to develop data models and visualize data using Power BI. Use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel. Improve processes to reduce common cause variability and eliminate special cause by following Problem Solving techniques such as Six Sigma (DMAIC). Design dashboards and related analytics that provide information appropriate for all levels of the organization. Develop scalable and reliable datasets, reports and dashboards. Ensure appropriate collection of quality data, analyze the data for trends, identify corrective action opportunities, and drive corrective action activities. Facilitate the definition and execution of design verifications and manufacturing control plans.

Education + Experience Requirements

Master’s degree in industrial engineering or manufacturing engineering and two (2) years of experience as a quality engineer

Special Skills:

Must have work experience in each of the following: 1) extract engine parameter data and analyze anomalies in the test patterns using SQL database, Mototune and Azure; 2) use PowerQuery, M and DAX to develop data models and visualize data using Power BI; and 3) use structured quality improvement tools such as Statistical Process Control (SPC) and ANOVA, as well as QCCalc, Minitab and SPC Excel.

Salary:

$78,500

Apply:

www.brunswick.com

We are the people behind life’s passions.

Brunswick does not accept applications, inquiries or solicitations from unapproved staffing agencies or vendors. For help, please contact our support team at: hrsharedservices@brunswick.com or 866-278-6942.

Equal Opportunity Employer: Minorities/Women/Protected Veterans/Disabled

EEO is The Law - click here for more information

Brunswick and Workday Privacy Policies

#Brunswick Corporation - Mercury Marine",3.7,"Mercury Marine
3.7","Fond du Lac, WI",-1,1001 to 5000 Employees,1939,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),-1,52,101,76.5,"Mercury Marine
",Fond du Lac,81,0,0,0,0,1
"Director, Data Science",$52K-$101K (Glassdoor Est.),"Overview:

At Alteryx, Inc., we live for the thrill and delight that happens when we help free the world’s thinkers to innovate in new ways. As you spend half of your waking hours at work, we make sure that time is spent pushing limits and fueling remarkable business outcomes for our customers. Our culture empowers associates to make a difference every day, as they collaborate with their colleagues to implement the Alteryx platform to achieve heart-pounding, fist-pumping moments of insight, preparing the new workforce for the jobs of the future.

We are excited to be adding to our expanding global Analytics Team that drives data science into both internal decisions and helps enable customers with education and thought leadership on implementing analytics in their environments. You will help software engineers know how to improve the product, marketing more effectively make sales happen, and every department more effectively use Alteryx and other data science tools to deliver amazing results. In addition, the team will be working to drive our Alteryx for Good mission, helping schools and citizen data scientists around the world become more data literate, more capable answering questions and more able to solve problems. This specific role will help grow the team and set the pattern for how data science will be delivered at Alteryx. It is a meaningful and exciting role to be in!

Responsibilities:

Create world-class BI and Analytic solutions for internal teams (Marketing, Sales, Product, etc.)

Provide coaching and guidance on data science best practices

Develop and deliver training curriculum on data science leveraging Alteryx and other tools (e.g. Tableau)

Ability to implement a wide array of analytic techniques including Machine Learning (ML) and Artificial Intelligence (AI)

Interface directly with customers with ability to problem solve and facilitate solution implementations

Teach statistical methods and ensure strong analytic practices are being applied
**The company will not provide sponsorship for work visas or other employment authorization for this position***
Requirements:
Strong experience with one or more visualization tools (Tableau, Qlik, etc.)
Strong experience with Alteryx and Python
15+ years of experience
History of working across broad number of domains (e.g. Finance, Manufacturing, HR, Engineering, Purchasing, etc.)
Strong people leader
Loves getting into data and creating incredibly solutions

Perks:
100% company-paid medical, dental, and vision for associates
Health plans that cover your family and pets
Company matched 401(k)
Associate stock purchase plan
Paid time off: 3 weeks’ vacation, 5 sick days, 9 holidays, 3 floating holidays, and 20 hours volunteer time
100% paid parental leave
Tuition reimbursement
Wellness programs with up to $300 fitness reimbursement annually
Collaborative offices stocked with healthy snacks and drinks
Office events, catered lunches, and happy hours

#LI-JE1",3.5,"Alteryx, Inc.
3.5","Ann Arbor, MI",-1,1001 to 5000 Employees,1997,Company - Public,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,52,101,76.5,"Alteryx, Inc.
",Ann Arbor,23,1,0,0,0,0
Inside Sales Representative (Headquarters),$52K-$101K (Glassdoor Est.),"Becoming a Sales Professional at Red Ventures means launching a sales career with a company ranked in the top ten best places to work in Charlotte, NC for 10 years running. It's easy to see why! Imagine a day in the life of a Red Ventures Sales Professional: a high-energy sales center, a supportive team by your side, goals to strive for, subsidized gourmet cafés, on-campus facilities to remain active, and defined career paths for successful Sales Professionals.

About the Role:

As a Sales Professional, you will sell on behalf of our brand partners. These will be inbound phone calls (no cold-calls) from residential customers shopping for home services.
Your goal is to establish rapport, deliver maximum product value, overcome hesitations and close the sale in just one call.
We'll give you all the tools you need for success – paid training, proprietary technology, dynamic scripting and expert coaching.
If you've got the drive, you can grow your sales career at Red Ventures through 5 different levels. Each promotion means higher earning potential and perks like extra PTO days, guaranteed holidays, and additional learning and development opportunities.
On average, a Sales Professional earns in the low $40,000s in their first 12 months. This includes a combination of the hourly base pay and uncapped commission, based on performance.
Commuting to our office in Fort Mill, SC is easy, and just 5-10 minutes south of the Ballantyne area of Charlotte.

About You:

The bottom line is we're a place where sales talent – of all levels and all backgrounds – can earn, learn and grow for years to come. Maybe you're seeking an entry-level role and are excited for extensive paid training as well as coaching and mentorship. Maybe you're a seasoned sales pro or customer service representative ready for a new opportunity with incredible growth potential. Sales experience not required. Instead, we look for teammates who are:

Adaptable - Do you thrive under pressure and roll with change?
Accountable - You come to work, ready to work. Your team can count on you.
Coachable - Our leadership teams are the best of the best and they're here for you.
Grit - You bring your best attitude and best effort, all the time.
Honest - Integrity is non-negotiable here—we believe in ""winning the right way"".
Drive - Commission is uncapped and so are our goals—let's chase both together.
Funny - Seriously—a sense of humor is a must. We work hard, play hard, and hand out the high fives for free.

Must be at least 18 years of age and able to pass a pre-employment drug screen and background check.

About Red Ventures:

Red Ventures is a multi-billion-dollar portfolio of digital companies that specializes in bringing consumers and brands together. Through bespoke technology, integrated digital commerce and sales, distinguished partnerships, data science, and original content from the company's proprietary brands and marketplaces, Red Ventures provides better end-to-end consumer experiences throughout the buying cycle. Headquartered near the Charlotte area, Red Ventures has more than 3,600 employees globally in offices across the US, UK, and Brazil.",2.5,"Red Ventures - Sales
2.5","Charlotte, NC",-1,1001 to 5000 Employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),-1,52,101,76.5,"Red Ventures - Sales
",Charlotte,20,0,0,0,0,0
"Principal, Life Sciences Partners",$52K-$101K (Glassdoor Est.),"How you will help
As a Principal of Life Sciences Partners you will be focused on business development and sales to industry partners who serve life sciences customers including leading consulting, analytics, strategic advisory, technology and other services firms. You will successfully expand our presence and provide additional coverage in assigned accounts by constantly looking for ways for HealthVerity to support our partners’ needs. You’ll join our growing Sales Team and be responsible for prospecting contacts, generating qualified opportunities, winning new business and managing relationships with key customers. You will have an understanding of the healthcare data and analytics space, particularly around selling data to the spectrum of potential users within life sciences.

What you will do
• Generate new data and product revenue from and with Pharmaceutical Manufacturers’ preferred partners by demonstrating our data platform and products, negotiating sales contracts and appropriately closing a sale
• Respond to all partner and client inquiries in a timely manner
• Work closely with veteran HealthVerity colleagues focused on key partners’ project needs
• Position yourself as a healthcare data and technology subject matter expert, focal point and key conduit between HealthVerity and your customers
• Build, maintain and manage a sales pipeline and forecast so as to achieve individual and team sales objectives and achieve revenue goals
• Establish and maintain an active sales calendar
• Confidently and credibly present healthcare data and licensing solutions, product presentations, demonstrations, conference calls, technical discussions/due diligence, executive discussions, web seminars and related activities
• Develop and maintain relationships with purchasing contacts including assisting with the internal management and development of contractual documents
• Prepare, present and coordinate product proposals, RFIs, RFPs and related sales activities
• Coordinate all sales efforts with sales support and delivery on account status, follow up activities, leads to pursue, product literature, win-loss and related sales support tasks

About you
• You are a trusted advisor to existing clients and partners
• You stay up-to-date with industry challenges and are able to spot opportunities
• You are a quick learner with an understanding of the various needs around data-driven applications and analytics within pharmaceutical companies
• You have experience with various types of healthcare data assets (medical claims, prescription claims, EMR, etc.) and related analytic applications (e.g. commercial analytics, real-world evidence/HEOR); also, awareness of new & traditional data & services vendors.
• You are a team player who is self-motivated and action-oriented
• You have proven success in networking and developing sales opportunities within top 10 Consulting Firms and/or top 20 Pharmaceutical Manufacturers
• You are an overachiever with a consistent track record of high-volume active pipeline and annual quota/revenue achievement
• You maintain accurate sales pipeline and forecasting processes to meet sales goals
• You are a creative prospector and networker
• You desire to work in an innovative, fast-growing company with an entrepreneurial environment
• You have the ability to operate effectively in a white-space, concept-driven environment
• You possess excellent interpersonal, public presentation, written and communication skills
• You excel in the ability to manage the client relationship from lead through implementation

Desired skills and experience
• 4+ years of cumulative consulting experience at senior consultant to senior manager level
• 2+ years of experience of selling, designing, or delivering complex solutions leveraging healthcare data, analytics, or SaaS technology to life science companies
• Familiar with the clinical and commercial pharmaceutical SaaS environments; have a working understanding of how and why different types of healthcare data are created
• Demonstrated success in finding, developing and sustaining strong partner & client relationships
• Ability to talk to senior level people about software, technology, data or advanced analytics in a language they’ll understand
• Up to 10% overnight travel

Our company challenges
• Empowering clients with highly rewarding data discovery and licensing tools
• Ingesting and managing billions of healthcare records from a wide variety of partners
• Standardizing on common data models across data types
• Orchestrating an industry-leading HIPAA privacy layerInnovating our proprietary de-identification and data science algorithms
• Building a culture that supports rapid iteration and new possibilities

The infrastructure and culture we are building will provide an environment that cultivates innovation. We want to move fast knowing we can fix anything we break along the way. If a new need arises, we want to turn around a solution quickly. We want to solve our challenges in ways that create even more possibilities. We’re creating a platform that lets us discover what else we might do.

We have big plans
We are building a platform that will scale to support an ever-growing array of data providers and innovative products. You must be able to think big while still delivering on near-term requirements.

HealthVerity, based in Center City Philadelphia, is a venture-backed technology company that is transforming the way data-led organizations make critical decisions. Our technology platform serves as the foundation for the rapid creation, exchange and management of healthcare and consumer data in a fully-interoperable, privacy-protecting manner. Advantaged by highly sophisticated identity resolution and matching capabilities, HealthVerity is on a mission to increase transparency, forge interoperability and activate deeper insights.

HealthVerity is an equal opportunity employer.",5,"HealthVerity
5.0","Philadelphia, PA",-1,51 to 200 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,52,101,76.5,"HealthVerity
",Philadelphia,6,0,0,0,0,1
Data Engineer,$52K-$101K (Glassdoor Est.),"The Data Engineer will work with product owners and data stewards to deliver high quality technical solutions in response to business requirements. You will be counted on to provide your peers with technical expertise that will offer solutions for difficult programming problems.

Duties and Responsibilities:

SQL Server Integration Services (SSIS) including UI and custom code features.
Write or create stored procedures, SQL scripts, SSIS packages that can be used to:
Move data from source databases to target databases
Clean / Condition data
Convert or transform data
Reconcile and confirm converted data
Find data errors
Validate data to business rules
Ability to examine existing ETL scripts and track data back to
source
SQL Server administration, tuning, and workbench.
Work with business experts to understand data and complete
data mappings.
Focus on the development of extract, transform, and load (ETL) jobs currently using Microsoft SQL, Server, and SSIS.
The environment currently supports hundreds of related ETL jobs that move data between 30 different source systems and between multiple classifications.
Part of the challenge as a data engineer will be to find scalable and efficient coding solutions that plug into this extensible system in order to add more data to the Enterprise data store.
Other duties as assigned

Minimum Qualifications: (To perform this job successfully, an individual must be able to perform each essential duty satisfactorily.)

Bachelor’s Degree in Statistics, Mathematics, Computer Science or another quantitative field
Equivalent years of experience in lieu of degree
4 years of relevant experience with the following software / tools:
Experience with Microsoft SQL
Prior experience supporting IC/DoD
The existing data warehouse is built on Microsoft SQL hosted on Amazon Web Services (AWS), so experience developing solutions that scale well in these environments is a plus.
Active Top-Secret Clearance with ability to obtain SCI

Knowledge, Skills and Abilities:

Ability to work independently and yet be effective within a team setting
Must be capable of managing multiple efforts with time related constraints in a fast-paced contracting environment
Demonstrated ability to effectively communicate and collaborate with diverse internal and external stakeholder groups and individuals
Friendly presence, helpful attitude, good interpersonal skills, and ability to work well with others.
Excellent skills in Microsoft Word, Excel, and other Office applications
Proficient with Microsoft Office Applications, and experience working in a home office setting as well as the ability to train end users on frequently asked technical issues.
Ability to provide technical assistance and support over the phone; good phone skills, professional demeanor, previous customer service experience strongly desired.

Good problem-solving skills; ability to visualize a problem/situation and think abstractly to solve it

Physical Demands: (The physical demands described here are representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.)

While performing the duties of this Job, the employee is regularly required to sit and talk or hear. The employee is frequently required to walk; use hands to finger, handle, or feel and reach with hands and arms. The employee is occasionally required to stand; climb or balance and stoop, kneel, crouch, or crawl. The employee must occasionally lift and/or move up to 25 pounds. Specific vision abilities required by this job include close vision.

Work Environment: (The work environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job.)

The employee will normally work in a temperature-controlled office environment, with frequent exposure to electronic office equipment.
During visits to areas of operations, may be exposed to extreme cold or hot weather conditions. Is occasionally exposed to fumes or airborne particles, toxic or caustic chemicals, and loud noise.

Chenega Corporation and family of companies is an EOE.

Equal Opportunity Employer/Veterans/Disabled

Native preference under PL 93-638.

We participate in the E-Verify Employment Verification Program.

Recruiter Jonas Patterson

Job Posting May 4, 2020, 1:51:27 PM",2.9,"Chenega Corporation
2.9","Springfield, VA",-1,5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),-1,52,101,76.5,"Chenega Corporation
",Springfield,46,0,0,0,1,1
HPC Applications Administrator,$52K-$101K (Glassdoor Est.),"DST is looking for a HPC Applications Administrator.

This individual will provide onsite HPC application support services and light system administration to customer's scientific community.

Required basic skills include:
-High performance computing applications
-Linux clustering
-High performance networking
-Scripting
-Troubleshooting
-Great support mind-set

Job Type: Full-time

Pay: $70,000.00 - $90,000.00 per year

Benefits:
* Dental Insurance
* Health Insurance
* Life Insurance
* Paid Time Off
Schedule:
* Monday to Friday

Experience:
* HPC: 2 years (Required)

Work Location:
* One location",3,"Data In Science Technologies
3.0",Pennsylvania,-1,1 to 50 Employees,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,52,101,76.5,"Data In Science Technologies
",Pennsylvania,-1,0,0,0,0,0
Vice President of Audience Solutions- Broker Engagement,$52K-$101K (Glassdoor Est.),"Overview*
The Vice President of Audience Solutions- Broker Engagement will be a key contributor to Alliant’s continued growth. This high-visibility position requires the successful candidate to initiate and develop strategic relationships with brokers, for multichannel marketing — helping them optimize marketing channels using Alliant’s unique services. The successful candidate will guide clients through the Alliant sales pipeline, partner with internal teams, and structure and close long term revenue-generating deals. The successful candidate will have a thorough understanding of data-driven marketing and be comfortable communicating a value proposition, handling customer questions and leading complex projects for delivery. This is a highly visible position and an exceptional opportunity for an individual who loves data, marketing and is motivated to drive revenue. This position reports to the SVP of Corporate Revenue.
Principle Responsibilities: *
Identify, evaluate, forecast and build strategy, develop revenue growth in the established broker network
Actively contribute to the establishment of budgets, sales pipeline, reporting and forecasting on a quarterly and fiscal year basis
Use knowledge of direct response and digital marketing techniques to determine, develop and present compelling business cases and strategies for selling direct response modeling solutions, audience targeted, data management and lead/order optimization services
Develop win back and repeat strategies
Identify and attend conferences as necessary to drive revenue
Recommend pricing and negotiation strategies to close new and renew existing services, as well as modifications to the product/service line based upon feedback including subscription options
Develop and deliver integrated and comprehensive annual business plans across all products to garner new revenue, and proactively provides quarterly performance updates
Provide input on new product development with voice of the customer (VOC)
Collaborate with internal teams as necessary
Keep current with marketing and product trends, industry developments, and competitive knowledge
Record all information into Salesforce a daily basis and maintain history of sales activity, transactions, account and client information as well as revenue opportunities
Generate and maintain a sales pipeline worth 150% of budgeted revenue targets
Lead team strategy in partnership with leadership and functional teams
Build and inspire high performing teams
Lead organization-wide adoption and optimization of internal systems
Perform other duties as requested by management
Key Skills and Background: *
Bachelor’s degree in sales, marketing, or business field with at least ten (10) years’ of working within a business-to-business (B2B) sales or direct marketing organization, or equivalent combination of education and experience
10+ years progressive experience in direct sales and sales management with a proven track record in developing direct mail strategies and sales
Strong understanding of multi-channel acquisition and reactivation direct response marketing as well as experience in creating and analyzing marketing information
Full understanding of digital program measurement metrics and reporting
Experience and relevant contacts within digital marketing and/or consumer product marketing organizations a plus
Must demonstrate solid listening skills and a consultative sales approach, with proven ability to identify and build relationships with key decision makers
Proven track record of achieving sales targets, conquesting business, selling complex solutions to expand service, and is proficient at solutions selling techniques based upon a consultative, value-driven sales methodology
An analytic mind-set and a passion for detail and data-driven marketing innovation
Highly self-motivated, with the ability to work independently, have attend to detail and generate results in a fast-paced environment
Outstanding writing and presentation skills, intermediate knowledge of Microsoft Office, including Word, Excel and PowerPoint.
Experience using Salesforce preferred
Must have the ability to accommodate travel to client sites and industry events
Must be flexible, detailed, team-oriented and committed to having a good time while doing a great job
About Alliant*
Alliant is a leading data company trusted by thousands of marketers. We deliver highly predictive custom and on-demand audience solutions across TV, programmatic, social, direct mail and more. The Alliant DataHub — built on billions of consumer transactions, advanced data science and high-performance technology — is the foundation for profit-driven audience solutions. For more information, visit: alliantdata.com

Alliant has a strong corporate culture of innovation, transparency and trust. We are committed to excellence in everything we do. We offer a competitive compensation and benefits package with strong career optionality for professional growth.

The position is based in Alliant’s offices in northern Westchester County, New York. Alliant is an equal opportunity employer.
Privacy Notice* — Alliant will collect and use any information you submit to us, including information regarding your identity, education, employment history, professional or personal qualifications, and any other submissions, solely to evaluate your suitability for a position. Your information will not be sold or used for any other commercial purpose, however it will be retained by Alliant for the period required by law, and cannot be deleted upon your request before the end of the retention period.
Job Type: Full-time

Benefits:
401(k)
Dental Insurance
Health Insurance
Paid Time Off
Vision Insurance
Schedule:
Monday to Friday
Experience:
sales management: 10 years (Required)
direct sales: 10 years (Required)
B2B sales or direct marketing: 10 years (Required)
Education:
Bachelor's (Required)
Work authorization:
United States (Required)",3.4,"Alliant Cooperative Data Solutions
3.4","Brewster, NY",-1,1 to 50 Employees,2003,Company - Private,Advertising & Marketing,Business Services,$5 to $10 million (USD),-1,52,101,76.5,"Alliant Cooperative Data Solutions
",Brewster,17,0,0,0,0,1
Sr. Data Scientist,$52K-$101K (Glassdoor Est.),"Overview:

Medifast is seeking a full-time Senior Data Scientist to join our team.

The Senior Data Scientist will be responsible for anticipating future business needs, solving real-time business questions, and identifying new applications for complex analysis.

The candidate focus will be using Machine Learning for the following use cases at Medifast:
Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, Natural Language Processing, AB Testing, and Customer Segmentation (Unsupervised Learning).

Responsibilities:
Employ machine learning and statistical modeling to generate new features to feed into our data core. Key Models include: Demand Forecasting, Recommendation Engines, Sentiments Analysis, Survival Analysis, and Customer Segmentation
Use storytelling to bring out the insights derived from machine learning and statistical modeling making the complex easy to follow and digestible
Perform automated market analyses to dynamically react to changing market conditions
Discover new predictive insights in our datasets and design measures that compute new predictive models while using data visualization methodology
Assist the Insights Center Manager in using Data Science to enhance the Insights Roadmap and assist in the selection of Data Science products to help enable and maintain the Data Science stack
Create measures that monitor inputs and performance on a real-time basis to inform the insights council when unexpected changes arise.
Be active in communications with business users and data management resources to collaborate through a project lifecycle as data changes occur
Aid and train end super users to effectively use the Data Science platform
Coordinate with offshore technical resources
Qualifications:
PHD degree or equivalent preferred in Applied Statistics, Mathematics or a related data field
5-8 years related experience
Executing solutions to business problems using advanced statistics, testing methods, data analysis, data mining, predictive modeling, optimization, and machine learning techniques;
Design and run end-to-end experiments with statistical rigor for test and learn, apply appropriate sampling methods and probabilistic simulations to hypothesis testing and parameter estimation including bootstrapping
Perform data exploration and visualization (using Tableau and other visualization tools), apply machine learning and statistical inference to seed hypotheses, identify opportunities, define metrics, provide interpretability to multi-dimensional scoring, regressor and classifier models, and decision tree learning, using novel methods;
Employ statistical programming through, Python, R, Dataiku, and toolkits (Scikit-learn, Pandas, Numpy, Scipy, PySpark, Jupyter Notebook and kernel, Macro) across disparate environments including Linux/Unix command line and shell scripting, virtual and clouds
Execute and automate data preprocessing via relational systems (AWS, Redshift, SQL Server, MySQL, Postgre, and, Oracle), and parallel computing for big data, using analytics engine and cluster computing frameworks: Apache Spark and Hadoop MapReduce, Apache Tez, and Yarn.

#LI-LW1",2.9,"Medifast, Inc.
2.9","Baltimore, MD",-1,501 to 1000 Employees,1980,Company - Public,"Health, Beauty, & Fitness",Consumer Services,$500 million to $1 billion (USD),-1,52,101,76.5,"Medifast, Inc.
",Baltimore,40,1,0,1,1,0
Data Strategy & Analytics Associate,$52K-$101K (Glassdoor Est.),"isn’t your usual company. Our work is powered by the premise that every person at is unique and possesses a distinct set of skills, personality and passions. We embrace our collective talents to tackle technical challenges, refine our successfully disruptive business ideas and co-create one of the most human and inspiring work cultures out there. We are a team of collaborators who value and reward shared success over individual heroics.
We’re looking for a Data Strategy & Analytics Associate to join the team. This role will play an instrumental role in managing, executing, and improving the end-to-end optimization process for partners through A/B testing, deep-dive analysis, and strategic insights.
You will have the opportunity to work directly with major partners and collaborate closely with our Client Strategy, Data Science and Data Engineering teams. This is an exciting opportunity to take on a critical, cross-functional role and directly drive product success.
Key Responsibilities
Perform data mining and analysis using our internal databases as well as external marketing channel data (Facebook Ads, Google Ads) to find actionable strategic insights that drive product growth and improvement
Develop dashboards, reports, and visualizations using tools such as Excel, Tableau, and MySQL
Prepare and present analytical insights and presentations to internal stakeholders
Collaborate with our Client Strategy team to strengthen client relationships by creating and presenting compelling data-led stories
About You
Must Haves:
Intellectual curiosity and a desire to learn new technical skills with some degree of autonomy (i.e. SQL, Tableau)
Creative critical thinking and problem solving skills
Collaborative and interpersonal skills
Strong comfort with Excel including ability to perform functions like pivot tables and basic formulas like IF, SUM, VLOOKUP, etc.
A foundational knowledge of statistics, including an understanding of hypothesis testing and metrics like mean, variance, statistical significance
Nice-to-Haves:
Experience with SQL including concepts like aggregations, joins, unions, window
BA or BS in a quantitative subject like Computer Science, Mathematics, Statistics, or Economics
About Us
is the data science company for the world’s leading online commerce and travel brands. Our Predictive Intelligence Platform uses patented technology to predict user behavior in real-time and identify the future value of every user. Over 450 innovative brands from more than 40 countries trust Intent’s real-time predictions to deliver personalized user experiences that maximize utility and ROI.
Every day, we’re inspired by two pursuits. First, we’re building novel products that are upending e-commerce. Second, we’re building the company we’ve always wanted to work for — one that’s open, human and collaborative, where very smart people come together to share ideas and get things done. We’re included on Built in NYC's Best Places to Work list and have been on Crain’s 100 Best Places to Work in NYC list for seven years running.
Love Your Job!
Our employees enjoy coming to work, and we let them know they're valued.
Our vibrant team accomplishes a lot every day, but we insist upon work/life balance so things never become stale. We don’t take ourselves too seriously, but we take our work very seriously.
We believe that in order for our employees to perform their best, they need access to strategic decisions, and so our flat structure and open communication invite innovation from all levels — ideas flow freely.
We offer competitive compensation, stock options, and other great perks & benefits for employees and their dependents.
Human First
We are proud to be an equal opportunity employer and are committed to being “Human First”. We see diversity as strength and believe from more perspectives come better decisions. All qualified applicants will receive consideration for employment without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability, age, or veteran status. is also committed to compliance with all fair employment practices regarding citizenship and immigration status.
So what are you waiting for? Apply with your resume in just a few clicks!",4.7,"<intent>
4.7","New York, NY",-1,51 to 200 Employees,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),-1,52,101,76.5,"<intent>
",New York,11,0,0,0,0,1
Data Engineer,$52K-$101K (Glassdoor Est.),"A Bit about Us

Our organization was founded in 1953 by Louis Spaw and Frank Glass, hence the name SpawGlass. With 10 offices across Texas, the company now has approximately 750 employees statewide and is 100 percent employee-owned with ownership open to all employees. Our DNA is comprised of five core values: Build Trust, Be Professional, Live Teamwork, Be Passionate and Think Like an Owner and our purpose is to provide our clients with the absolute best construction experience.

What Sets Us Apart

We don't just build buildings, we build people, and our core values aren't just stated, they're practiced. We not only want to hire difference makers; we also want to retain them. The average tenure of our team members is 10 years – more than twice the median years of tenure in the construction industry nationwide.

Accountabilities:
Build a growth mindset
Develop and maintain excellent relationships with project team members
Assist with the design and management of the technology stack used for data storage and processing.
Analyze and translate business needs into data deliverables
Design and development of API interfaces with off-site application/software suites.
Creation of dashboards, reports or downstream data feeds from existing applications
Create and manage data models, data flow diagrams, data mappings, and data dictionaries
Develop and manage databases, data pipelines, data warehouses, data marts and data lakes
Identify and reconcile data quality and inconsistency issues
Facilitate data integration and transformation requirements for moving data between applications; ensuring interoperability of applications with database, data warehouse and data mart environments
Work with leadership and information security team to ensure confidentiality, integrity and availability of data and recommending improvements
Minimum Education:

A four year technical degree in computer science, engineering, data science or a related field.

Relevant experience with certifications such as MTA-SQL, MCSA Database Development/DBA/BIDS will also be considered.

Experience Required: 6+ years

IT Technologies Preferred:
Microsoft SQL Server
Microsoft Office Suite
Microsoft SSRS
RDBMS
Knowledge of the following is a plus, but not required:
Programming Languages (.NET, VBA, C#, Python)
Microsoft SSAS
Oracle 9i or later
Microsoft Power BI
NoSQL
Data Management Skills Preferred:

Strong understanding of the following:
Database Administration Principles
T-SQL/PSQL
Data Models/Normalizations
Databases
Data Integration
Data Analytics
Knowledge of the following is a plus:
Cloud Data Architecture
Data Warehouses/Data Marts
ETL/API Integrations
Business Intelligence
Master Data Management
Robotic Process Automation (RPA)
Work Environment:

Corporate office environment

Monday – Friday, 8:00 am – 5:00 pm

SpawGlass is an Equal Opportunity Employer.",4.4,"SpawGlass
4.4","Houston, TX",-1,501 to 1000 Employees,1953,Subsidiary or Business Segment,Construction,"Construction, Repair & Maintenance",$500 million to $1 billion (USD),-1,52,101,76.5,"SpawGlass
",Houston,67,1,0,0,0,1
